Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,btts,over_2_5,result,home_form,away_form,h2h_wins,home_avg_gs,home_avg_gc,away_avg_gs,away_avg_gc,form_diff,gs_diff,gc_diff
2015-12-12,Celta,Espanol,1,0,H,0,0,0,7,5,0,1.4,2.2,1.0,1.0,2,0.3999999999999999,1.2000000000000002
2015-12-12,Las Palmas,Betis,1,0,H,0,0,0,4,7,0,1.0,1.8,0.8,1.0,-3,0.19999999999999996,0.8
2015-12-12,Levante,Granada,1,2,A,1,1,2,5,5,0,1.0,1.2,1.2,1.4,0,-0.19999999999999996,-0.19999999999999996
2015-12-12,Sevilla,Sp Gijon,2,0,H,0,0,0,7,6,0,1.2,1.4,1.0,1.4,1,0.19999999999999996,0.0
2015-12-13,Ath Madrid,Ath Bilbao,2,1,H,1,1,0,13,10,0,1.2,0.2,1.6,0.8,3,-0.40000000000000013,-0.6000000000000001
2015-12-13,Eibar,Valencia,1,1,D,1,0,1,7,8,0,1.2,1.2,2.0,0.8,-1,-0.8,0.3999999999999999
2015-12-13,Vallecano,Malaga,1,2,A,1,1,2,4,2,0,0.8,1.6,0.4,1.2,2,0.4,0.40000000000000013
2015-12-13,Villarreal,Real Madrid,1,0,H,0,0,0,7,9,0,1.0,1.6,2.2,1.8,-2,-1.2000000000000002,-0.19999999999999996
2015-12-19,Betis,Sevilla,0,0,D,0,0,1,7,10,0,0.6,0.6,1.4,1.0,-3,-0.7999999999999999,-0.4
2015-12-19,Espanol,Las Palmas,1,0,H,0,0,0,4,7,0,0.8,1.0,1.0,1.2,-3,-0.19999999999999996,-0.19999999999999996
2015-12-19,La Coruna,Eibar,2,0,H,0,0,0,9,5,0,1.6,0.8,1.2,1.4,4,0.40000000000000013,-0.5999999999999999
2015-12-19,Valencia,Getafe,2,2,D,1,1,1,6,5,0,1.6,1.0,1.2,1.8,1,0.40000000000000013,-0.8
2015-12-20,Sociedad,Villarreal,0,2,A,0,0,2,7,7,0,1.0,1.6,0.8,1.4,0,0.19999999999999996,0.20000000000000018
2015-12-20,Real Madrid,Vallecano,10,2,H,1,1,0,6,4,0,1.6,1.8,1.0,1.8,2,0.6000000000000001,0.0
2015-12-20,Ath Bilbao,Levante,2,0,H,0,0,0,7,5,0,1.2,1.0,1.2,1.0,2,0.0,0.0
2015-12-20,Granada,Celta,0,2,A,0,0,2,7,7,0,1.4,1.4,1.0,1.8,0,0.3999999999999999,-0.40000000000000013
2015-12-20,Malaga,Ath Madrid,1,0,H,0,0,0,5,15,0,0.8,1.2,1.4,0.2,-10,-0.5999999999999999,1.0
2015-12-30,Barcelona,Betis,4,0,H,0,1,0,11,5,0,2.8,0.6,0.4,0.6,6,2.4,0.0
2015-12-30,Celta,Ath Bilbao,0,1,A,0,0,2,10,7,0,1.2,0.8,1.2,0.8,3,0.0,0.0
2015-12-30,Eibar,Sp Gijon,2,0,H,0,0,0,2,3,0,0.6,1.6,0.8,1.8,-1,-0.20000000000000007,-0.19999999999999996
2015-12-30,Getafe,La Coruna,0,0,D,0,0,1,6,11,0,1.4,1.6,1.8,0.6,-5,-0.40000000000000013,1.0
2015-12-30,Las Palmas,Granada,4,1,H,1,1,0,4,7,0,0.6,1.4,1.2,1.4,-3,-0.6,0.0
2015-12-30,Levante,Malaga,0,1,A,0,0,2,4,8,0,1.0,1.2,1.0,1.0,-4,0.0,0.19999999999999996
2015-12-30,Real Madrid,Sociedad,3,1,H,1,1,0,9,7,0,3.2,1.6,1.0,1.6,2,2.2,0.0
2015-12-30,Sevilla,Espanol,2,0,H,0,0,0,8,7,0,0.8,0.6,0.8,0.6,1,0.0,0.0
2015-12-30,Vallecano,Ath Madrid,0,2,A,0,0,2,1,12,0,1.0,3.6,1.2,0.4,-11,-0.19999999999999996,3.2
2015-12-31,Villarreal,Valencia,1,0,H,0,0,0,10,4,0,1.2,0.8,1.0,1.2,6,0.19999999999999996,-0.3999999999999999
2016-01-02,Espanol,Barcelona,0,0,D,0,0,1,4,11,0,0.4,1.0,3.0,0.6,-7,-2.6,0.4
2016-01-02,Malaga,Celta,2,0,H,0,0,0,11,10,0,1.2,0.6,1.2,0.6,1,0.0,0.0
2016-01-02,Ath Madrid,Levante,1,0,H,0,0,0,12,1,0,1.4,0.4,0.4,1.4,11,0.9999999999999999,-0.9999999999999999
2016-01-03,Ath Bilbao,Las Palmas,2,2,D,1,1,1,10,6,0,1.4,0.4,1.2,1.4,4,0.19999999999999996,-0.9999999999999999
2016-01-03,Betis,Eibar,0,4,A,0,1,2,5,4,0,0.4,1.2,0.8,1.4,1,-0.4,-0.19999999999999996
2016-01-03,Granada,Sevilla,2,1,H,1,1,0,4,11,0,1.0,2.2,1.2,0.2,-7,-0.19999999999999996,2.0
2016-01-03,La Coruna,Villarreal,1,2,A,1,1,2,9,12,0,1.4,0.6,1.2,0.6,-3,0.19999999999999996,0.0
2016-01-03,Valencia,Real Madrid,2,2,D,1,1,1,3,12,0,0.8,1.2,3.8,1.0,-9,-3.0,0.19999999999999996
2016-01-03,Vallecano,Sociedad,2,2,D,1,1,1,0,4,0,0.8,3.8,0.8,2.2,-4,0.0,1.5999999999999996
2016-01-04,Sp Gijon,Getafe,1,2,A,1,1,2,3,6,0,0.8,2.0,1.2,1.4,-3,-0.3999999999999999,0.6000000000000001
2016-01-09,Barcelona,Granada,4,0,H,0,1,0,9,6,0,2.2,0.6,1.0,2.0,3,1.2000000000000002,-1.4
2016-01-09,Getafe,Betis,1,0,H,0,0,0,6,2,0,1.2,1.6,0.2,2.0,4,1.0,-0.3999999999999999
2016-01-09,Levante,Vallecano,2,1,H,1,1,0,1,1,0,0.4,1.4,1.2,3.6,0,-0.7999999999999999,-2.2
2016-01-09,Real Madrid,La Coruna,5,0,H,0,1,0,10,6,0,3.8,1.4,1.2,1.0,4,2.5999999999999996,0.3999999999999999
2016-01-09,Sevilla,Ath Bilbao,2,0,H,0,0,0,8,8,0,1.2,0.6,1.2,0.8,0,0.0,-0.20000000000000007
2016-01-10,Villarreal,Sp Gijon,2,0,H,0,0,0,15,3,0,1.6,0.4,1.0,1.8,12,0.6000000000000001,-1.4
2016-01-10,Sociedad,Valencia,2,0,H,0,0,0,5,4,0,1.2,1.8,1.2,1.4,1,0.0,0.40000000000000013
2016-01-10,Eibar,Espanol,2,1,H,1,1,0,7,5,0,1.6,1.0,0.4,0.8,2,1.2000000000000002,0.19999999999999996
2016-01-10,Las Palmas,Malaga,1,1,D,1,0,1,7,13,0,1.6,1.4,1.2,0.2,-6,0.40000000000000013,1.2
2016-01-10,Celta,Ath Madrid,0,2,A,0,0,2,7,12,0,0.8,0.8,1.4,0.4,-5,-0.5999999999999999,0.4
2016-01-16,Celta,Levante,4,3,H,1,1,0,6,3,1,0.6,1.0,0.6,1.4,3,0.0,-0.3999999999999999
